Auxílio-Moradia,Escritório(s) de Apoio-2015,Escritório(s) de Apoio-2016,Escritório(s) de Apoio-2017,Gabinete-2015,Gabinete-2016,Gabinete-2017,Imóvel Funcional,Participacao,TotalGabinete-2015,TotalGabinete-2016,TotalGabinete-2017,UF,codigo,email,gastos,gastos2015,gastos2016,gastos2017,nome,nomeCompleto,partido,sexo,status,urlFoto,urlPagina
12,15,13,26,33,36,28,0,Titular,48,49,54,PI,739,ciro.nogueira@senador.leg.br,1821866.8800000001,630162.89,640975.98,550728.01,Ciro Nogueira,Ciro Nogueira Lima Filho,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739
0,22,23,22,18,18,18,12,Titular,40,41,40,AC,4558,gladson.cameli@senador.leg.br,1755939.15,619038.09,628306.39,508594.67000000004,Gladson Cameli,Gladson de Lima Cameli,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4558.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4558
0,17,18,21,17,15,18,12,Titular,34,33,39,PE,5008,humberto.costa@senador.leg.br,1720684.71,518628.15,598253.21,603803.35,Humberto Costa,Humberto Sérgio Costa Lima,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008
0,22,20,28,9,13,13,12,Titular,31,33,41,CE,615,jose.pimentel@senador.leg.br,1646477.06,587188.85,526678.9,532609.31,José Pimentel,José Barroso Pimentel,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador615.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/615
0,19,19,24,21,29,33,0,Titular,40,48,57,RR,73,romero.juca@senador.leg.br,1644431.21,568915.8200000001,517303.31999999995,558212.07,Romero Jucá,Romero Jucá Filho,PMDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador73.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/73
0,40,42,47,19,15,15,12,Titular,59,57,62,AP,3394,joao.capiberibe@senador.leg.br,1621776.6600000001,550155.39,538127.29,533493.98,João Capiberibe,João Alberto Rodrigues Capiberibe,PSB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3394.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3394
0,25,27,30,14,15,16,12,Titular,39,42,46,PA,374,paulo.rocha@senador.leg.br,1586691.0699999998,390634.74,629690.51,566365.82,Paulo Rocha,Paulo Roberto Galvão da Rocha,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador374.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/374
0,36,43,43,19,20,18,12,Titular,55,63,61,AM,558,vanessa.grazziotin@senadora.leg.br,1534445.93,581310.3200000001,527329.83,425805.78,Vanessa Grazziotin,Vanessa Grazziotin,PCdoB,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador558.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/558
0,22,30,35,15,13,13,12,Titular,37,43,48,AP,5012,randolfe.rodrigues@senador.leg.br,1489773.4600000002,528366.64,530632.27,430774.55,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,REDE,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012
12,19,19,19,14,15,21,0,Titular,33,34,40,RR,4697,angela.portela@senadora.leg.br,1483285.46,505236.74,537024.36,441024.36,Ângela Portela,Ângela Maria Gomes Portela,PDT,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4697.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4697
